name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,release_clause_euro,national_team,national_rating,national_team_position,national_jersey_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle
5579,5972,1548,31,185.42,88.9,823,6,87,87,48500000.0,205000.0,1,4,4,3,6,4622522.181547434,11,76.34189031505251,28,12.456242707117854,68,91,79,74,88,83,74,62,59,84,70,72,75,86,69,86,79,70,85,80,50,20,92,74,70,86,35,22,18
6597,6753,2551,30,182.88,78.0,247,33,87,87,46500000.0,260000.0,1,4,4,3,3,95300000.0,11,76.34189031505251,28,12.456242707117854,84,79,59,87,84,82,88,82,90,85,66,62,73,80,66,84,39,83,71,87,67,81,80,86,82,86,76,75,73
8048,7173,3346,31,187.96,86.2,104,13,87,87,34000000.0,155000.0,0,3,3,3,6,62900000.0,9,85.0,8,5.0,72,56,80,79,52,71,63,73,74,77,61,65,61,85,60,80,85,75,79,66,84,89,60,68,66,83,89,87,88
3639,4205,4035,31,170.18,60.8,215,13,87,87,45000000.0,135000.0,1,3,4,4,6,76500000.0,9,85.0,22,14.0,77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,83,79,81,25,40,40
11734,10464,3633,30,175.26,79.8,328,18,87,87,36500000.0,240000.0,0,4,4,5,6,74800000.0,11,76.34189031505251,28,12.456242707117854,90,73,75,84,61,90,85,67,78,92,83,82,86,87,86,83,76,89,78,70,84,83,85,82,59,86,71,82,83
15328,15638,2725,30,185.42,81.2,104,13,87,88,44000000.0,165000.0,1,3,3,2,6,84700000.0,9,85.0,18,2.0,64,45,82,79,38,62,63,69,85,75,61,67,60,88,50,78,84,76,79,65,81,87,58,67,58,84,90,91,86
8289,8066,2763,29,170.18,68.0,328,133,87,87,38000000.0,250000.0,0,3,3,3,6,77900000.0,86,85.0,7,18.0,87,73,70,84,60,80,80,63,74,84,93,93,90,83,85,64,81,91,61,66,77,84,80,76,59,82,74,84,84
15893,15406,3110,27,175.26,69.9,229,133,87,87,51500000.0,140000.0,1,3,3,5,6,85000000.0,86,85.0,28,19.0,72,69,54,90,90,90,85,77,87,90,78,69,90,86,86,76,75,75,59,79,56,78,79,86,75,85,67,67,71
2552,2898,2235,29,185.42,84.8,823,76,87,87,52000000.0,115000.0,1,3,4,3,6,88400000.0,52,83.0,27,17.0,55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,80,76,80,77,40,91,65,78,81,34,33,32
8790,9099,1626,32,185.42,79.8,327,32,87,87,30500000.0,195000.0,1,3,3,1,6,62500000.0,11,76.34189031505251,28,12.456242707117854,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,21,74,39,75,13,32,20,16,68,25,67,28,14,14
6689,5404,3300,26,175.26,78.9,25,133,87,90,62500000.0,260000.0,1,3,3,4,6,132800000.0,86,85.0,14,22.0,75,79,55,86,65,94,88,76,81,95,75,69,87,77,90,69,64,70,59,85,58,64,78,86,76,86,60,64,51
7829,7061,4666,27,154.94,74.8,26,29,87,88,59000000.0,260000.0,0,4,3,4,6,4622522.181547434,26,79.0,6,10.0,90,83,62,89,90,85,89,86,83,90,73,67,83,85,76,86,54,70,68,92,64,55,80,88,81,87,52,41,44
3007,2544,2290,27,185.42,83.9,140,18,87,89,50500000.0,240000.0,1,3,3,2,6,107300000.0,11,76.34189031505251,28,12.456242707117854,58,64,76,83,61,69,63,74,82,78,61,66,62,86,66,86,88,87,89,81,89,86,69,77,66,84,84,87,86
10724,11259,2201,26,154.94,74.8,823,6,87,90,64500000.0,130000.0,1,3,4,3,6,114500000.0,4,82.0,27,9.0,46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,69,76,70,56,22,92,64,82,85,45,24,20
9012,9006,929,24,185.42,84.8,327,133,84,90,31000000.0,92000.0,1,1,4,1,3,63600000.0,86,85.0,28,13.0,25,11,17,32,18,10,25,19,36,16,34,33,41,79,39,25,71,37,51,14,18,21,15,55,24,63,19,18,16
6316,6170,2711,25,154.94,64.9,84,101,84,86,38000000.0,31000.0,0,3,2,4,3,56100000.0,11,76.34189031505251,28,12.456242707117854,84,68,53,86,77,84,90,78,89,83,76,74,86,83,78,80,38,86,59,76,72,62,76,88,72,83,52,66,36
5288,5542,818,25,187.96,78.0,140,18,84,88,34000000.0,120000.0,1,3,2,3,3,65500000.0,11,76.34189031505251,28,12.456242707117854,79,66,75,83,47,76,71,53,80,82,69,72,69,83,67,78,75,92,79,65,85,84,70,77,91,84,84,86,84
849,1411,1945,23,182.88,76.2,550,53,84,90,42500000.0,165000.0,1,3,3,4,6,89300000.0,11,76.34189031505251,28,12.456242707117854,76,84,69,78,74,88,84,54,60,87,88,89,85,82,81,84,74,76,75,80,58,42,83,74,81,82,34,39,36
15855,15580,3010,23,154.94,74.8,823,57,84,87,40000000.0,77000.0,1,3,4,3,6,71000000.0,44,85.0,25,9.0,69,87,77,77,85,83,63,56,55,84,93,93,81,86,76,78,78,83,64,70,63,37,85,61,72,74,39,20,19
12298,12428,6026,23,195.58,97.1,104,57,84,90,36500000.0,84000.0,1,2,3,2,9,67500000.0,44,85.0,1,15.0,30,20,86,78,31,42,28,30,63,63,52,84,33,79,33,77,38,65,94,62,82,82,26,30,32,72,83,85,83
2215,2286,6129,24,152.4,68.9,15,119,84,88,40500000.0,22000.0,1,2,3,4,3,84000000.0,87,78.0,9,8.0,84,74,58,85,84,83,86,85,84,86,79,76,77,84,78,87,72,91,67,88,66,71,81,86,82,84,66,66,57
1517,731,1632,26,154.94,71.2,328,18,84,86,31000000.0,22000.0,0,3,2,3,3,64300000.0,11,76.34189031505251,28,12.456242707117854,89,65,74,83,67,82,87,79,86,82,84,85,73,83,70,80,81,92,68,75,78,80,76,74,73,80,80,81,79
7199,8391,236,24,185.42,79.8,104,152,84,88,34000000.0,63000.0,1,2,3,2,6,72300000.0,96,81.0,8,2.0,47,37,81,68,30,47,36,44,58,56,69,70,56,76,43,72,90,67,85,48,89,85,24,27,38,73,88,86,87
12023,12056,4760,25,172.72,74.8,0,53,84,88,40500000.0,84000.0,0,3,3,4,9,80000000.0,11,76.34189031505251,28,12.456242707117854,83,82,49,83,77,90,81,79,75,89,79,79,84,80,91,84,69,77,82,82,73,28,81,81,76,89,31,37,25
3881,3754,4169,22,187.96,78.9,104,29,84,88,34000000.0,105000.0,1,2,3,2,3,65500000.0,26,79.0,18,23.0,36,40,80,77,28,63,30,27,67,73,72,79,60,80,55,66,73,76,83,44,87,82,34,49,44,75,84,85,88
11738,10483,255,23,182.88,76.2,536,133,84,89,41500000.0,195000.0,0,3,3,4,6,88200000.0,86,85.0,25,10.0,82,80,57,83,79,85,83,76,81,85,85,82,79,82,76,86,58,76,61,88,45,45,82,82,62,83,40,42,39
12484,12805,3689,21,152.4,67.1,769,53,84,92,46000000.0,170000.0,0,3,5,4,3,103500000.0,43,84.0,28,11.0,81,78,43,79,76,91,82,64,70,83,94,93,90,82,85,83,59,76,52,76,54,36,79,84,75,82,42,30,33
6680,1312,3612,34,170.18,68.0,272,133,85,85,18500000.0,19000.0,1,4,4,4,6,24100000.0,11,76.34189031505251,28,12.456242707117854,77,69,54,90,75,88,80,70,84,91,70,66,79,84,84,67,47,58,58,70,58,65,78,93,71,89,68,57,56
16835,16614,919,37,195.58,94.8,823,138,85,85,14000000.0,15000.0,1,5,4,5,6,21000000.0,11,76.34189031505251,28,12.456242707117854,73,86,83,79,86,79,82,82,73,84,58,59,75,82,39,90,68,61,86,82,84,20,85,79,89,90,28,37,24
8308,10021,1725,27,154.94,67.1,227,76,83,84,30000000.0,140000.0,1,2,3,3,3,57800000.0,52,83.0,4,8.0,75,57,56,89,71,82,75,76,87,85,70,61,77,82,73,71,58,79,66,62,79,76,68,87,84,79,62,77,70
4616,4313,2160,29,172.72,63.0,721,17,83,83,26000000.0,44000.0,1,2,4,4,3,49400000.0,11,76.34189031505251,28,12.456242707117854,80,80,45,82,74,82,74,60,71,82,90,89,93,80,88,79,69,84,58,77,47,52,83,77,75,82,55,40,40
14505,14704,4700,23,175.26,74.8,457,57,83,87,34000000.0,85000.0,1,2,4,4,6,58700000.0,44,85.0,27,6.0,74,81,46,79,83,87,64,62,68,83,92,90,86,81,88,85,64,68,68,81,63,38,80,74,68,74,45,48,45
10836,10934,4041,24,175.26,78.0,227,33,83,89,35000000.0,165000.0,1,3,4,4,6,4622522.181547434,11,76.34189031505251,28,12.456242707117854,73,62,42,87,76,88,78,68,82,89,84,74,85,74,85,79,63,82,65,75,77,76,71,88,59,81,69,74,63
16444,16305,3537,26,187.96,83.0,149,119,83,86,27000000.0,35000.0,1,3,4,3,6,58700000.0,72,82.0,2,14.0,68,52,73,81,50,78,79,50,84,80,62,67,51,75,51,70,69,85,92,59,78,81,64,81,60,89,82,83,67
5305,5068,3696,29,190.5,86.2,104,18,83,84,22500000.0,22000.0,1,3,3,2,6,46700000.0,11,76.34189031505251,28,12.456242707117854,45,39,81,74,44,57,32,30,67,62,60,67,52,77,57,46,90,78,86,41,92,81,34,50,47,75,85,85,79
16550,16406,6059,25,154.94,73.0,390,13,83,86,33000000.0,20000.0,1,3,4,4,3,73400000.0,30,64.0,12,10.0,78,79,53,77,68,88,81,78,71,87,89,87,88,83,71,84,68,74,59,75,61,18,81,71,74,75,58,39,26
10005,9875,4619,27,172.72,69.9,780,133,83,83,27000000.0,205000.0,1,2,4,4,6,55400000.0,11,76.34189031505251,28,12.456242707117854,83,72,56,83,58,82,82,71,75,82,86,82,86,85,84,80,68,90,57,76,72,62,82,83,56,75,62,62,61
13305,13367,468,27,175.26,72.1,491,104,83,83,28000000.0,28000.0,1,2,4,5,3,58800000.0,61,81.0,23,9.0,79,86,60,78,69,84,75,76,73,82,90,91,87,82,79,82,82,83,61,83,60,33,79,81,74,78,36,30,32
9365,9491,2464,24,187.96,78.9,229,57,83,88,34000000.0,85000.0,1,3,4,3,3,58700000.0,44,85.0,28,14.0,75,73,80,84,68,81,76,75,79,83,84,79,76,84,70,78,74,86,72,80,80,82,79,82,60,80,72,76,74
1076,315,3450,23,193.04,79.8,247,53,83,87,33000000.0,91000.0,0,2,3,3,3,63500000.0,11,76.34189031505251,28,12.456242707117854,70,69,77,85,72,79,73,59,83,83,73,74,79,83,72,80,73,82,80,79,76,80,76,80,67,84,70,81,75
1127,689,67,24,187.96,78.0,104,76,83,90,31000000.0,92000.0,0,2,3,2,6,58900000.0,11,76.34189031505251,28,12.456242707117854,36,30,77,72,28,65,36,24,71,70,63,69,60,78,53,64,78,75,81,46,85,86,31,45,34,76,88,86,82
8352,8469,3904,24,182.88,73.9,572,119,83,89,29500000.0,105000.0,1,2,3,4,3,54600000.0,72,82.0,17,2.0,86,58,64,79,62,85,83,69,75,84,91,91,78,83,74,80,73,90,66,66,73,77,78,74,46,77,79,79,79
1552,1097,2018,25,190.5,79.8,0,18,83,87,34000000.0,27000.0,0,2,4,4,6,77400000.0,11,76.34189031505251,28,12.456242707117854,78,80,77,81,76,82,86,87,79,84,77,76,76,79,65,84,58,76,72,88,67,58,86,81,71,74,55,62,42
8519,9146,4186,22,152.4,71.2,468,53,83,88,34500000.0,85000.0,1,2,3,5,3,59500000.0,11,76.34189031505251,28,12.456242707117854,81,77,52,77,77,88,84,70,63,83,95,93,88,82,84,78,75,76,63,73,36,23,79,75,70,75,29,17,15
15623,15475,1116,23,170.18,62.1,399,53,83,89,35500000.0,64000.0,0,3,2,4,3,79900000.0,43,84.0,28,8.0,83,75,54,84,76,85,85,81,75,86,86,84,87,79,86,79,71,79,63,78,63,66,78,84,68,80,55,59,63
7967,7967,2056,23,195.58,97.1,104,57,82,87,25000000.0,61000.0,1,2,4,2,9,44400000.0,44,85.0,28,20.0,35,20,80,74,24,55,30,27,69,64,64,77,48,81,44,44,72,63,93,25,76,80,27,61,38,75,80,87,84
11217,11088,5496,25,170.18,67.1,701,76,82,85,28000000.0,61000.0,0,2,4,4,6,4622522.181547434,11,76.34189031505251,28,12.456242707117854,80,74,40,80,75,84,79,77,76,84,85,86,90,79,82,78,50,79,45,82,63,38,77,75,70,79,63,29,29
2609,2949,4252,23,185.42,81.2,104,53,82,88,26000000.0,135000.0,0,1,4,2,3,58500000.0,11,76.34189031505251,28,12.456242707117854,36,23,80,78,24,60,25,27,69,76,72,73,62,81,60,58,85,73,80,35,80,82,50,60,43,78,85,84,80
13202,13012,1603,24,187.96,77.1,327,133,82,87,21500000.0,21000.0,0,1,3,1,3,46800000.0,86,85.0,28,23.0,24,19,15,38,17,18,23,21,41,16,45,52,40,74,57,21,71,42,52,18,39,16,20,62,25,62,19,20,11
6166,6415,4997,23,175.26,69.9,769,97,82,87,29500000.0,24000.0,1,3,4,4,3,43500000.0,56,77.0,13,22.0,75,77,58,74,75,84,72,65,67,81,94,93,91,82,76,76,67,80,59,76,64,45,78,75,64,77,42,35,29
11702,10277,2351,22,172.72,73.9,749,18,82,89,31500000.0,140000.0,0,2,4,4,6,70900000.0,11,76.34189031505251,28,12.456242707117854,79,75,57,80,71,85,77,81,73,85,87,82,92,79,84,85,58,74,64,85,53,26,78,81,68,78,21,28,17
9757,9870,2056,23,167.64,64.0,149,152,82,87,25000000.0,98000.0,1,2,3,3,6,49400000.0,96,81.0,9,14.0,74,50,59,83,65,78,70,78,77,81,81,74,85,79,93,78,52,85,66,74,86,86,65,74,48,78,84,84,77
5948,5991,1400,22,152.4,68.0,493,119,82,86,29000000.0,36000.0,1,1,4,4,6,63100000.0,72,82.0,28,17.0,78,75,60,77,71,86,76,70,69,81,89,90,85,80,78,81,65,75,62,77,67,50,77,77,69,80,24,34,30
5645,5905,3571,22,175.26,69.9,229,6,82,88,30000000.0,83000.0,0,1,3,4,3,4622522.181547434,4,82.0,19,20.0,75,77,59,82,69,84,82,72,84,84,77,79,82,80,81,80,64,80,69,76,65,65,79,84,60,79,61,67,67
5291,4922,3451,22,187.96,69.9,248,133,82,90,32000000.0,70000.0,0,1,4,4,3,60800000.0,11,76.34189031505251,28,12.456242707117854,72,79,67,80,67,83,75,59,80,83,69,67,73,79,66,75,46,75,70,83,68,77,80,84,67,77,70,78,75
5275,5516,3642,21,154.94,69.9,253,104,82,89,31000000.0,20000.0,1,1,3,4,3,49600000.0,61,81.0,10,7.0,75,52,64,87,64,86,82,64,82,88,80,78,84,83,78,68,76,74,69,57,64,78,66,85,45,86,69,73,70
14045,13499,2391,31,190.5,84.8,327,18,82,82,14000000.0,32000.0,1,1,2,1,6,25200000.0,11,81.0,5,1.0,10,8,11,18,8,9,9,18,16,21,41,42,34,82,41,21,67,29,79,7,34,23,27,71,14,67,20,17,13
8402,8551,2390,35,154.94,82.1,105,18,82,82,6500000.0,39000.0,1,1,3,2,6,12400000.0,11,81.0,18,3.0,40,56,83,67,63,60,72,58,58,64,68,74,61,78,63,74,91,76,79,61,86,82,58,50,62,70,77,85,84
14144,14057,2391,31,175.26,69.9,149,18,82,82,16500000.0,46000.0,1,1,4,2,3,31400000.0,11,81.0,19,13.0,61,53,70,82,57,77,54,57,78,76,80,81,72,80,80,60,43,93,68,59,75,82,58,77,77,81,83,86,80
1609,1615,5187,22,170.18,73.0,227,18,82,90,32500000.0,125000.0,1,1,3,4,6,73100000.0,11,76.34189031505251,28,12.456242707117854,70,72,58,86,63,83,68,60,80,84,68,70,79,81,90,76,78,78,62,74,73,75,77,84,69,86,65,76,70
14119,13924,4348,22,190.5,82.1,247,133,82,87,29000000.0,59000.0,1,1,3,4,3,61600000.0,86,85.0,28,16.0,63,64,75,84,59,77,65,54,80,82,70,66,69,80,72,70,69,82,75,76,63,81,75,83,46,83,71,79,74
11165,10525,322,34,182.88,74.8,149,76,82,82,9000000.0,59000.0,1,2,4,3,3,15300000.0,11,76.34189031505251,28,12.456242707117854,70,70,75,80,76,75,67,55,83,79,68,69,67,82,71,87,77,88,77,86,80,80,82,78,45,78,78,80,82
10845,11291,2706,30,154.94,76.2,216,57,82,82,21500000.0,45000.0,0,2,4,4,6,36600000.0,11,76.34189031505251,28,12.456242707117854,81,83,63,84,80,82,80,69,80,85,69,67,74,85,76,81,65,71,72,79,63,41,85,84,91,86,57,38,34
7282,8005,4247,28,182.88,79.8,149,44,82,82,18000000.0,125000.0,1,2,3,3,6,33300000.0,35,82.0,19,8.0,81,67,65,84,72,73,80,74,84,80,67,66,68,80,70,77,79,91,72,71,77,80,75,83,64,78,77,79,76
12038,12782,2286,31,172.72,66.2,0,6,82,82,21000000.0,22000.0,0,3,2,4,3,45200000.0,11,76.34189031505251,28,12.456242707117854,80,71,54,81,81,84,88,72,75,83,84,79,87,82,81,72,81,69,46,73,69,40,77,82,71,80,35,42,43
10152,10727,3246,29,193.04,83.0,823,9,82,82,22000000.0,120000.0,1,3,4,4,6,41800000.0,7,77.0,13,7.0,78,78,74,78,79,84,79,72,74,85,79,83,69,78,66,84,67,78,84,75,84,44,83,77,77,81,43,48,39
14501,14586,342,32,162.56,60.8,215,76,82,82,20000000.0,61000.0,1,2,4,4,6,34000000.0,1,74.0,28,9.0,72,78,34,80,75,86,90,93,76,86,88,80,94,83,91,80,34,77,42,81,75,26,83,78,73,82,23,29,28
5801,6136,6124,29,185.42,77.1,0,70,82,82,22500000.0,125000.0,1,3,4,3,6,42800000.0,49,72.0,0,10.0,86,77,60,85,75,80,87,86,80,85,58,55,68,78,63,83,68,86,68,86,57,55,79,86,79,85,57,57,55
5941,5921,3983,28,172.72,68.0,84,18,82,82,22500000.0,59000.0,1,2,3,4,9,38300000.0,11,76.34189031505251,28,12.456242707117854,77,77,59,82,65,82,67,71,80,84,85,77,85,81,85,78,61,82,74,76,72,42,81,80,79,82,49,43,38
12868,13354,4037,28,193.04,86.2,327,69,82,83,18000000.0,53000.0,1,2,2,1,6,32000000.0,48,73.0,5,1.0,16,10,23,29,10,19,18,11,25,25,42,44,41,75,50,23,67,35,68,12,34,23,11,36,24,45,25,16,20
10029,10022,4858,31,187.96,78.0,145,18,82,82,16500000.0,57000.0,0,3,3,3,3,31400000.0,11,76.34189031505251,28,12.456242707117854,63,48,72,79,54,68,42,60,76,73,63,62,65,83,62,78,76,85,81,73,88,83,53,69,58,84,82,81,84
8926,9130,5816,28,152.4,72.1,634,44,82,82,18500000.0,99000.0,1,2,4,3,6,34200000.0,35,82.0,28,12.0,91,48,73,79,54,75,87,83,78,81,76,75,74,80,74,75,73,88,65,70,70,79,75,80,66,73,77,82,79
1089,35,1819,28,182.88,76.2,248,156,82,82,23000000.0,130000.0,1,3,3,3,3,43700000.0,100,75.0,0,10.0,75,74,58,84,79,81,70,66,80,82,65,69,73,81,74,81,66,89,67,74,73,69,84,79,75,81,66,70,67
10181,10630,5182,28,187.96,88.0,823,76,82,82,23500000.0,68000.0,1,4,4,4,6,44700000.0,11,76.34189031505251,28,12.456242707117854,68,83,67,78,78,81,78,78,66,85,75,80,71,68,50,89,74,66,86,79,70,30,78,74,92,81,10,22,20
11766,10787,4562,30,175.26,68.9,644,149,82,82,21000000.0,1000.0,0,2,4,5,6,44100000.0,11,76.34189031505251,28,12.456242707117854,76,79,53,81,68,87,82,72,73,88,85,82,92,77,84,77,68,78,62,78,58,51,77,82,80,84,45,49,42
15875,15312,78,31,172.72,64.0,391,18,82,82,21000000.0,1000.0,1,2,3,4,3,44100000.0,11,76.34189031505251,28,12.456242707117854,73,76,56,77,82,87,52,73,75,85,93,91,90,79,83,83,62,79,62,83,56,49,74,79,72,82,38,53,40
5431,5830,5360,29,154.94,74.8,284,76,82,82,22000000.0,115000.0,1,3,3,4,3,37400000.0,11,76.34189031505251,28,12.456242707117854,82,70,70,84,78,83,78,78,80,85,75,77,77,82,77,84,69,84,66,86,68,72,78,82,68,82,74,72,68
5615,5716,2128,26,187.96,79.8,247,25,81,84,22000000.0,43000.0,0,2,2,4,3,47900000.0,11,76.34189031505251,28,12.456242707117854,65,69,75,81,62,78,62,56,79,83,69,76,76,83,67,86,81,78,91,80,82,79,77,79,45,82,78,82,82
7840,8793,505,26,175.26,79.8,372,53,81,83,18000000.0,50000.0,0,2,3,3,9,32000000.0,11,76.34189031505251,28,12.456242707117854,81,64,71,77,57,79,75,56,70,79,87,85,77,76,78,75,73,84,77,65,75,77,71,71,51,75,75,84,79
15145,14956,4392,27,185.42,83.9,823,76,81,82,21000000.0,48000.0,0,2,3,4,6,4622522.181547434,11,76.34189031505251,28,12.456242707117854,52,80,79,71,81,77,71,56,45,79,77,79,76,78,69,85,89,76,88,72,87,40,83,66,79,72,54,42,50
15105,16785,28,27,154.94,76.2,572,33,81,81,15000000.0,57000.0,1,2,3,3,3,4622522.181547434,11,76.34189031505251,28,12.456242707117854,82,44,73,77,53,74,70,57,70,79,78,79,67,79,72,75,85,87,73,58,75,80,65,68,52,67,79,81,77
2592,2826,2199,28,190.5,76.2,149,57,81,82,17000000.0,35000.0,1,2,3,3,3,30200000.0,11,76.34189031505251,28,12.456242707117854,61,46,58,80,58,71,54,51,72,81,52,52,66,85,54,54,51,93,69,42,78,81,70,73,47,78,80,80,76
1916,1941,4745,24,185.42,84.8,328,53,81,86,20000000.0,105000.0,0,2,3,3,6,38500000.0,11,76.34189031505251,28,12.456242707117854,87,33,65,80,31,80,80,34,69,79,77,86,68,80,70,79,71,81,81,65,75,79,77,76,50,79,78,79,81
11330,10435,2676,24,152.4,77.1,15,9,81,84,22500000.0,54000.0,1,2,4,3,6,39900000.0,7,77.0,12,9.0,70,79,56,79,78,79,74,63,67,81,83,77,75,85,79,86,75,84,76,81,70,55,81,79,65,75,58,55,51
11078,11028,2887,25,187.96,83.0,104,127,81,84,18500000.0,36000.0,0,2,2,2,6,32800000.0,11,76.34189031505251,28,12.456242707117854,46,30,77,73,32,43,72,68,69,65,65,77,65,80,59,44,81,62,78,22,78,78,30,55,52,80,83,83,87
1053,486,2556,25,154.94,78.9,856,53,81,83,22000000.0,40000.0,1,2,3,4,9,39100000.0,11,76.34189031505251,28,12.456242707117854,78,82,73,76,81,78,78,74,68,79,78,77,79,81,78,83,75,82,77,81,63,39,83,78,65,76,29,40,30
10595,11118,197,25,187.96,83.0,105,57,81,83,18500000.0,30000.0,1,2,3,2,6,32800000.0,44,85.0,26,4.0,68,55,85,77,53,62,44,42,71,72,55,69,55,79,49,74,65,74,82,46,69,80,55,69,67,71,83,84,77
